rivid,area_sqm,lon_index,lat_index,npoints,lsm_grid_lon,lsm_grid_lat
17240364,0,691,439,1,-96.20833333333672,42.29166666666572
17240360,0,691,439,1,-96.20833333333672,42.29166666666572
17239618,0,691,439,1,-96.20833333333672,42.29166666666572
17239632,0,691,439,1,-96.20833333333672,42.29166666666572
17239570,0,691,439,1,-96.20833333333672,42.29166666666572
17240380,0,691,439,1,-96.20833333333672,42.29166666666572
17239700,0,691,439,1,-96.20833333333672,42.29166666666572
17239492,0,691,439,1,-96.20833333333672,42.29166666666572
17240258,0,691,439,1,-96.20833333333672,42.29166666666572
17239578,0,691,439,1,-96.20833333333672,42.29166666666572
17239636,0,691,439,1,-96.20833333333672,42.29166666666572
17240210,0,691,439,1,-96.20833333333672,42.29166666666572
17240218,0,691,439,1,-96.20833333333672,42.29166666666572
17239308,0,691,439,1,-96.20833333333672,42.29166666666572
17239300,0,691,439,1,-96.20833333333672,42.29166666666572
17239234,0,691,439,1,-96.20833333333672,42.29166666666572
17239670,0,691,439,1,-96.20833333333672,42.29166666666572
17240324,0,691,439,1,-96.20833333333672,42.29166666666572
17240188,0,691,439,1,-96.20833333333672,42.29166666666572
17239294,0,691,439,1,-96.20833333333672,42.29166666666572
17239328,0,691,439,1,-96.20833333333672,42.29166666666572
17239478,0,691,439,1,-96.20833333333672,42.29166666666572
17239482,0,691,439,1,-96.20833333333672,42.29166666666572
17239318,0,691,439,1,-96.20833333333672,42.29166666666572
17239242,0,691,439,1,-96.20833333333672,42.29166666666572
17239250,0,691,439,1,-96.20833333333672,42.29166666666572
17239470,0,691,439,1,-96.20833333333672,42.29166666666572
17239258,0,691,439,1,-96.20833333333672,42.29166666666572
17240306,0,691,439,1,-96.20833333333672,42.29166666666572
17240294,0,691,439,1,-96.20833333333672,42.29166666666572
17239588,0,691,439,1,-96.20833333333672,42.29166666666572
17239708,0,691,439,1,-96.20833333333672,42.29166666666572
17239710,0,691,439,1,-96.20833333333672,42.29166666666572
17239824,0,691,439,1,-96.20833333333672,42.29166666666572
17239456,0,691,439,1,-96.20833333333672,42.29166666666572
17240196,0,691,439,1,-96.20833333333672,42.29166666666572
17239424,0,691,439,1,-96.20833333333672,42.29166666666572
17239152,0,691,439,1,-96.20833333333672,42.29166666666572
17239606,0,691,439,1,-96.20833333333672,42.29166666666572
17240206,0,691,439,1,-96.20833333333672,42.29166666666572
17240238,0,691,439,1,-96.20833333333672,42.29166666666572
17239712,0,691,439,1,-96.20833333333672,42.29166666666572
17239702,0,691,439,1,-96.20833333333672,42.29166666666572
17240270,0,691,439,1,-96.20833333333672,42.29166666666572
17239350,0,691,439,1,-96.20833333333672,42.29166666666572
17240216,0,691,439,1,-96.20833333333672,42.29166666666572
17240212,0,691,439,1,-96.20833333333672,42.29166666666572
17240248,0,691,439,1,-96.20833333333672,42.29166666666572
17240254,0,691,439,1,-96.20833333333672,42.29166666666572
17238920,0,691,439,1,-96.20833333333672,42.29166666666572
17240398,0,691,439,1,-96.20833333333672,42.29166666666572
17239286,0,691,439,1,-96.20833333333672,42.29166666666572
17239658,0,691,439,1,-96.20833333333672,42.29166666666572
17239716,0,691,439,1,-96.20833333333672,42.29166666666572
17239696,0,691,439,1,-96.20833333333672,42.29166666666572
17239506,0,691,439,1,-96.20833333333672,42.29166666666572
17239512,0,691,439,1,-96.20833333333672,42.29166666666572
